,Funding Orgs
147,College of Petroleum Engineering & Geosciences at King Fahd University of Petroleum Minerals; Centre for Engineering Research at Research Institute
148,College of Petroleum Engineering & Geosciences at the King Fahd University of Petroleum Minerals
149,"College of Petroleum Engineering & Geosciences, King Fahd University of Petroleum & Minerals, Saudi Arabia"
150,"College of Petroleum Engineering & Geosciences, King Fahd University of Petroleum and Minerals, Kingdom of Saudi Arabia"
151,"College of Petroleum Engineering & Geosciences, King Fahd University of Petroleum and Minerals, Kingdom of Saudi Arabia [SF18066]"
152,"College of Petroleum Engineering & Geosciences, King Fahd University of Petroleum and Minerals, Kingdom of SaudiArabia [CIRA-2018-48]"
153,College of Petroleum Engineering and Geoscience at King Fahd University of Petroleum and Minerals [SF 19001]
154,College of Petroleum Engineering and Geosciences (CPG) at King Fahd University of Petroleum and Minerals (KFUPM) in Saudi Arabia
155,College of Petroleum Engineering and Geosciences (CPG) at King Fahd University of Petroleum and Minerals in Saudi Arabia
156,"College of Petroleum Engineering and Geosciences (CPG) at King Fand University of Petroleum and Minerals, Saudi Arabia"
157,"College of Petroleum Engineering and Geosciences (CPG), King Fahd University of Petroleum and Minerals (KFUPM) [SF18060]"
158,"College of Petroleum Engineering and Geosciences (CPG), King Fahd University of Petroleum and Minerals (KFUPM) [SF18061]"
159,College of Petroleum Engineering and Geosciences [SF17004]
160,College of Petroleum Engineering and Geosciences at KFUPM
161,College of Petroleum Engineering and Geosciences at KFUPM; Qatar National Research Fund [NPRP10-0125-170235]
162,College of Petroleum Engineering and Geosciences at KFUPM; Saudi Aramco [CIPR2317]
163,college of petroleum engineering and geosciences at King Fahd University of petroleum and minerals
164,college of petroleum engineering and geosciences at King Fahd University of Petroleum and Minerals [SF 17002]
165,College of Petroleum Engineering and Geosciences at King Fahd University Petroleum and minerals
166,College of Petroleum Engineering and Geosciences at King Fand University of Petroleum and Minerals
167,College of petroleum engineering and geosciences at the King Fahd University of petroleum and minerals
168,College of petroleum engineering and geosciences at the King Fahd University of Petroleum and Minerals [SF 17002]
169,College of Petroleum Engineering and Geosciences at the King Fahd University of Petroleum Minerals [SF 17002]
170,"College of Petroleum Engineering and Geosciences, at King Fahd University of Petroleum Minerals [SF19001]"
171,"College of Petroleum Engineering and Geosciences, at King Fahd University of Petroleum Minerals; Saudi Aramco [CIPR2317]"
172,"College of Petroleum Engineering and Geosciences, KFUPM, Dhahran Saudi Arabia"
173,"College of Petroleum Engineering and Geosciences, King Fahd University of Petroleum & Minerals, Saudi Arabia"
174,"College of Petroleum Engineering and Geosciences, King Fahd University of Petroleum and Minerals"
175,"College of Petroleum Engineering and Geosciences, King Fahd University of Petroleum and Minerals, Saudi Arabia; National Key Basic Research and Development ProgramNational Basic Research Program of China [2014CB744100]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11325212]; UK Engineering and Physical Sciences Research CouncilEngineering & Physical Sciences Research Council (EPSRC) [EP/R041938/1]"
176,"College of Petroleum Engineering and Geosciences, King Fand University of Petroleum and Minerals, Saudi Arabia"
177,"College of Petroleum Engineering and Geosciences, Saudi Arabia; King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia"
178,College of Petroleum Engineering and Geoscinces at King Fahd Univeristy of Petroleum Minerls
179,College of Petroleum Engineering Geoscience [CPG-17-0124]
180,College of Petroleum Engineering Geoscience [CPG17-0124]
181,"College of Petroleum Engineering, King Fahd University of Petroleum and Minerals"
182,"College of Petroleum Engineering, King Fahd University of Petroleum Minerals"
183,commission of scientific research projects of Gaziosmanpasa University [2016/75]; Karadeniz Technical UniversityKaradeniz Technical University [FBA-2017-6863]
184,Computer Engineering Department at King Fahd University of Petroleum and Mineral
185,Cooperacion Internacional of Conicyt-Chile through Fondecyt [115-0973]; Conicyt-Chile under project Fondecyt Postdoctorado [3160205]; MINECO of Spain [MTM2014-59179-C2-2-P]; Severo Ochoa Programme for Centres of Excellence in RD [SEV-2015-0563]
186,CoRE-D at King Fahd University of Petroleum and Minerals [DISC1504]
187,CoRE-DWT at KFUPM [DISC1504]
188,"CoRE-DWT at King Fahd University of Petroleum and Minerals, Saudi Arabia [DISC1504]"
189,"CoRE-DWT, KFUPM, Saudi Arabia; Deanship of Scientific Research, KFUPM [DISC 1801]"
190,"CoRE-DWT, KFUPM, Saudi Arabia; KFUPM [DISC 1801]"
191,"Corrosion and Electrochemistry Laboratory, Department of Chemistry, University of Uyo, Nigeria"
192,"CPG-KFUPM (Dhahran, KSA)"
193,CSIRCouncil of Scientific & Industrial Research (CSIR) - India; KFUPM
194,Deanship for Scientific Research (DSR) at KFUPM [IN-161065]
195,deanship for scientific research (DSR) at KFUPM [IN16105]
196,Deanship for Scientific Research at the King Fahd University of Petroleum and Minerals through the Distinguished Professorship Research Project [IN141003]
197,"Deanship of Academic Research ""DSR"" at King Fahd University for petroleum and minerals ""KFUPM"" [SR151013]"
198,"Deanship of Academic Research ""DSR"" at King Fahd University of Petroleum and Minerals ""KFUPM"" [SR151013]"
199,"Deanship of Graduate Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [FT161001]"
200,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF191013]
201,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN161038]
202,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [JF141010]
203,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG171009]; King Abdullah City for Atomic and Renewable Energy
204,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG181003]
